Code,Name,Name indo
U+1F600,grinning face,Wajah menyeringai
U+1F603,grinning face with big eyes,muka menyeringai dengan mata besar
U+1F604,grinning face with smiling eyes,Wajah menyeringai dengan mata tersenyum
U+1F601,beaming face with smiling eyes,wajah berseri-seri dengan mata tersenyum
U+1F606,grinning squinting face,muka juling menyeringai
U+1F605,grinning face with sweat,muka menyeringai dengan keringat
U+1F923,rolling on the floor laughing,tertawa menggelinding di lantai
U+1F602,face with tears of joy,wajah dengan air mata sukacita
U+1F642,slightly smiling face,sedikit wajah tersenyum
U+1F643,upside down face,wajah terbalik
U+1F609,winking face,mengedipkan mata wajah
U+1F60A,smiling face with smiling eyes,Wajah tersenyum dengan mata tersenyum
U+1F607,smiling face with halo,Senyum wajah dengan halo
U+1F970,smiling face with hearts,Wajah tersenyum dengan hati
U+1F60D,smiling face with heart eyes,Wajah tersenyum dengan mata hati
U+1F929,star struck,bintang melanda
U+1F618,face blowing a kiss,wajah meniup ciuman
U+1F617,kissing face,wajah ciuman
U+263A,smiling face,Senyum wajah
U+1F61A,kissing face with closed eyes,Berciuman wajah dengan mata tertutup
U+1F619,kissing face with smiling eyes,Berciuman wajah dengan mata tersenyum
U+1F972,smiling face with tear,Wajah tersenyum dengan air mata
U+1F60B,face savoring food,Wajah menikmati makanan
U+1F61B,face with tongue,Wajah dengan lidah
U+1F61C,winking face with tongue,mengedipkan mata wajah dengan lidah
U+1F92A,zany face,wajah zany
U+1F61D,squinting face with tongue,"""Wajah menyipitkan mata dengan lidah"""
U+1F911,money mouth face,wajah mulut uang
U+1F917,hugging face,Wajah memeluk
U+1F92D,face with hand over mouth,wajah dengan tangan di atas mulut
U+1F92B,shushing face,Wajah diam
U+1F914,thinking face,wajah berpikir
U+1F910,zipper mouth face,muka mulut ritsleting
U+1F928,face with raised eyebrow,Wajah dengan alis terangkat
U+1F610,neutral face,wajah netral
U+1F611,expressionless face,ekspresi wajah
U+1F636,face without mouth,wajah tanpa mulut
U+1F60F,smirking face,Wajah menyeringai
U+1F612,unamused face,wajah tidak digunakan
U+1F644,face with rolling eyes,(Wajah-wajah dengan mata yang terbalik)
U+1F62C,grimacing face,Wajah muram
